CPU,GPU,TIME
0,1,27943.4
0,1,27868.8
0,1,27936.3
0,1,27967.6
0,1,27971.6
1,0,360504.0
1,0,358863.0
1,0,357127.0
1,0,358524.0
1,0,358892.0
1,1,26421.0
1,1,26603.7
1,1,27220.2
1,1,27365.4
1,1,27462.5
2,0,211614.0
2,0,211424.0
2,0,210570.0
2,0,209618.0
2,0,209671.0
2,1,26160.4
2,1,26142.3
2,1,111529.0
2,1,114162.0
2,1,26193.1
3,0,158463.0
3,0,156959.0
3,0,156455.0
3,0,156908.0
3,0,153546.0
3,1,27362.9
3,1,27863.7
3,1,66330.4
3,1,27894.4
3,1,35260.8
4,0,127968.0
4,0,129241.0
4,0,129057.0
4,0,127256.0
4,0,127063.0
4,1,27468.2
4,1,27505.3
4,1,27925.0
4,1,104379.0
4,1,27825.1
5,0,126373.0
5,0,123668.0
5,0,122522.0
5,0,123249.0
5,0,125117.0
5,1,94922.1
5,1,25923
5,1,95895.5
5,1,94988.5
5,1,26758.1
6,0,123242.0
6,0,122034.0
6,0,124520.0
6,0,123468.0
6,0,121149.0
6,1,25399.6
6,1,76042.5
6,1,89430.1
6,1,86938.1
6,1,25766.6
7,0,124032.0
7,0,121514.0
7,0,121784.0
7,0,119985.0
7,0,121520.0
7,1,25554.5
7,1,84372.0
7,1,81877.0
7,1,69310.2
7,1,85767.8
8,0,121092.0
8,0,120640.0
8,0,121256.0
8,0,121843.0
8,0,119703.0
8,1,120192.0
8,1,82815.4
8,1,122065.0
8,1,84017.5
8,1,85086.8
