CPU,GPU,TIME
0,1,32289.1
0,1,31780.0
0,1,31753.2
0,1,31727.0
0,1,31728.1
1,0,359688.0
1,0,359734.0
1,0,361862.0
1,0,359949.0
1,0,357558.0
1,1,28528.7
1,1,28583.9
1,1,28689.2
1,1,28738.4
1,1,28642.9
2,0,211374.0
2,0,211743.0
2,0,211818.0
2,0,212443.0
2,0,212182.0
2,1,124786.0
2,1,119997.0
2,1,140067.0
2,1,121370.0
2,1,110470.0
3,0,157257.0
3,0,155271.0
3,0,155613.0
3,0,156749.0
3,0,154505.0
3,1,125782.0
3,1,83146.0
3,1,119665.0
3,1,125597.0
3,1,124179.0
4,0,125148.0
4,0,127031.0
4,0,128412.0
4,0,127987.0
4,0,126544.0
4,1,28488.2
4,1,28912.2
4,1,29009.6
4,1,101915.0
4,1,28524.6
5,0,126163.0
5,0,125231.0
5,0,123424.0
5,0,122820.0
5,0,124266.0
5,1,97907.6
5,1,27354.2
5,1,27827.4
5,1,28603.3
5,1,28425.3
6,0,123320.0
6,0,121695.0
6,0,121949.0
6,0,123043.0
6,0,122756.0
6,1,87427.7
6,1,88021.4
6,1,87266.5
6,1,27392.2
6,1,91269.4
7,0,122039.0
7,0,120026.0
7,0,120345.0
7,0,121152.0
7,0,122204.0
7,1,72586.0
7,1,83595.2
7,1,27716.1
7,1,72824.7
7,1,82087.0
8,0,119520.0
8,0,120416.0
8,0,121981.0
8,0,119815.0
8,0,119195.0
8,1,77087.7
8,1,77902.3
8,1,78761.6
8,1,77571.6
8,1,76022.5
