CPU,GPU,TIME
0,1,358057.0
0,1,357748.0
0,1,357790.0
0,1,358237.0
0,1,360384.0
1,0,360314.0
1,0,358422.0
1,0,359564.0
1,0,357708.0
1,0,360993.0
1,1,209065.0
1,1,208606.0
1,1,209597.0
1,1,209571.0
1,1,211077.0
2,0,191989.0
2,0,194389.0
2,0,192394.0
2,0,192809.0
2,0,195139.0
2,1,154213.0
2,1,154014.0
2,1,152961.0
2,1,153336.0
2,1,154988.0
3,0,131515.0
3,0,135332.0
3,0,135688.0
3,0,134142.0
3,0,132210.0
3,1,124963.0
3,1,125768.0
3,1,125930.0
3,1,127355.0
3,1,126927.0
4,0,106576.0
4,0,109318.0
4,0,109614.0
4,0,107656.0
4,0,107070.0
4,1,122912.0
4,1,122994.0
4,1,122047.0
4,1,122327.0
4,1,121945.0
5,0,99918.3
5,0,102420
5,0,99085.1
5,0,98469.8
5,0,99138.1
5,1,121860.0
5,1,121815.0
5,1,120473.0
5,1,118639.0
5,1,121337.0
6,0,92648.4
6,0,96018.3
6,0,94167.5
6,0,92169.1
6,0,94181.0
6,1,120705.0
6,1,118715.0
6,1,117674.0
6,1,116377.0
6,1,117780.0
7,0,87230.8
7,0,89550.5
7,0,87548.0
7,0,86013.9
7,0,87222.7
7,1,117138.0
7,1,117281.0
7,1,117526.0
7,1,116580.0
7,1,117925.0
8,0,81598.8
8,0,83297.2
8,0,83489.6
8,0,82415.0
8,0,82120.9
8,1,116961.0
8,1,116926.0
8,1,118359.0
8,1,117570.0
8,1,115853.0
