CPU,GPU,TIME
0,1,359169.0
0,1,358257.0
0,1,359937.0
0,1,357971.0
0,1,360213.0
1,0,360054.0
1,0,358089.0
1,0,358234.0
1,0,358125.0
1,0,357921.0
1,1,209247.0
1,1,209362.0
1,1,208300.0
1,1,209942.0
1,1,209690.0
2,0,194918.0
2,0,193097.0
2,0,192764.0
2,0,192804.0
2,0,190881.0
2,1,155180.0
2,1,156276.0
2,1,154132.0
2,1,154389.0
2,1,153340.0
3,0,136342.0
3,0,131847.0
3,0,135352.0
3,0,135312.0
3,0,133808.0
3,1,125810.0
3,1,125209.0
3,1,125160.0
3,1,126072.0
3,1,126196.0
4,0,106252.0
4,0,106018.0
4,0,107815.0
4,0,108747.0
4,0,108339.0
4,1,123076.0
4,1,120625.0
4,1,121407.0
4,1,121795.0
4,1,121938.0
5,0,98138.3
5,0,99345.3
5,0,100967.0
5,0,100238.0
5,0,100318.0
5,1,118421.0
5,1,118895.0
5,1,120311.0
5,1,119474.0
5,1,117867.0
6,0,90782.9
6,0,93913.9
6,0,94455.9
6,0,93030.9
6,0,93171.4
6,1,117213.0
6,1,118923.0
6,1,118556.0
6,1,119245.0
6,1,117449.0
7,0,85789.7
7,0,87206.2
7,0,87480.6
7,0,88221.7
7,0,86605.7
7,1,117089.0
7,1,115162.0
7,1,117829.0
7,1,119265.0
7,1,116035.0
8,0,80492.7
8,0,81112.5
8,0,82639.5
8,0,82270.5
8,0,83186.2
8,1,116128.0
8,1,114410.0
8,1,115958.0
8,1,117388.0
8,1,116619.0
